# Volts,Current,J
2.769230769230769056e+03,3.158773000000000136e-02,2.610556198347107615e-01
2.692307692307692378e+03,3.171751999999999905e-02,2.621282644628099012e-01
2.615384615384614790e+03,3.185145000000000337e-02,2.632351239669421528e-01
2.538461538461538112e+03,3.196032000000000040e-02,2.641348760330578527e-01
2.461538461538461888e+03,3.206639000000000017e-02,2.650114876033057842e-01
2.384615384615385210e+03,3.216404999999999959e-02,2.658185950413223253e-01
2.307692307692307622e+03,3.226314000000000265e-02,2.666375206611570348e-01
2.230769230769230944e+03,3.235241999999999979e-02,2.673753719008264418e-01
2.153846153846154266e+03,3.244732000000000172e-02,2.681596694214876675e-01
2.076923076923076678e+03,3.253094000000000124e-02,2.688507438016529139e-01
2.000000000000000000e+03,3.262862999999999875e-02,2.696580991735537114e-01
1.923076923076923322e+03,3.264675999999999689e-02,2.698079338842975239e-01
1.846153846153845734e+03,3.272909000000000235e-02,2.704883471074380208e-01
1.769230769230769056e+03,3.288259999999999794e-02,2.717570247933884242e-01
1.692307692307692605e+03,3.297470999999999736e-02,2.725182644628098561e-01
1.615384615384615017e+03,3.307933999999999874e-02,2.733829752066115892e-01
1.538461538461538339e+03,3.321607000000000032e-02,2.745129752066116091e-01
1.461538461538461661e+03,3.330398999999999859e-02,2.752395867768595017e-01
1.384615384615384983e+03,3.341282999999999753e-02,2.761390909090908896e-01
1.307692307692307395e+03,3.348402999999999796e-02,2.767275206611570226e-01
1.230769230769230944e+03,3.357335999999999654e-02,2.774657851239669126e-01
1.153846153846154266e+03,3.367102999999999763e-02,2.782729752066115392e-01
1.076923076923076678e+03,3.372822999999999793e-02,2.787457024793388305e-01
1.000000000000000000e+03,3.385106000000000226e-02,2.797608264462810301e-01
9.230769230769228670e+02,3.389711000000000113e-02,2.801414049586776756e-01
8.461538461538463025e+02,3.402966999999999798e-02,2.812369421487602716e-01
7.692307692307691696e+02,3.418455000000000105e-02,2.825169421487603305e-01
6.923076923076924913e+02,3.430176000000000058e-02,2.834856198347107670e-01
6.153846153846154721e+02,3.442873999999999934e-02,2.845350413223140529e-01
5.384615384615383391e+02,3.450270999999999894e-02,2.851463636363636422e-01
4.615384615384616609e+02,3.457807999999999715e-02,2.857692561983470880e-01
3.846153846153845848e+02,3.465762000000000009e-02,2.864266115702479576e-01
3.076923076923075087e+02,3.472882000000000052e-02,2.870150413223140351e-01
2.307692307692308304e+02,3.479576000000000197e-02,2.875682644628099194e-01
1.538461538461537543e+02,3.485578000000000287e-02,2.880642975206612055e-01
7.692307692307709033e+01,3.492835999999999858e-02,2.886641322314049685e-01
0.000000000000000000e+00,3.505392999999999704e-02,2.897019008264462570e-01
-7.692307692307709033e+01,3.519624999999999837e-02,2.908780991735537280e-01
-1.538461538461537543e+02,3.519065999999999861e-02,2.908319008264462768e-01
-2.307692307692308304e+02,3.535254000000000174e-02,2.921697520661157288e-01
-3.076923076923075087e+02,3.546976000000000295e-02,2.931385123966941952e-01
-3.846153846153845848e+02,3.554091000000000194e-02,2.937265289256198453e-01
-4.615384615384616609e+02,3.562466000000000244e-02,2.944186776859504806e-01
-5.384615384615383391e+02,3.567765999999999993e-02,2.948566942148760361e-01
-6.153846153846154721e+02,3.575583999999999707e-02,2.955028099173553913e-01
-6.923076923076924913e+02,3.586051999999999990e-02,2.963679338842975519e-01
-7.692307692307691696e+02,3.591632000000000158e-02,2.968290909090908758e-01
-8.461538461538463025e+02,3.599581000000000308e-02,2.974860330578512624e-01
-9.230769230769228670e+02,3.605723999999999735e-02,2.979937190082644904e-01
-1.000000000000000000e+03,3.618421000000000137e-02,2.990430578512396909e-01
-1.076923076923076906e+03,3.630144999999999900e-02,3.000119834710743283e-01
-1.153846153846153811e+03,3.642702999999999913e-02,3.010498347107438133e-01
-1.230769230769230944e+03,3.650518999999999986e-02,3.016957851239669419e-01
-1.307692307692307622e+03,3.658052999999999999e-02,3.023184297520661312e-01
-1.384615384615384528e+03,3.672707000000000055e-02,3.035295041322313980e-01
-1.461538461538461434e+03,3.679546000000000205e-02,3.040947107438016772e-01
-1.538461538461538566e+03,3.690430000000000099e-02,3.049942148760330651e-01
-1.615384615384615472e+03,3.697824999999999723e-02,3.056053719008264280e-01
-1.692307692307692378e+03,3.707734000000000030e-02,3.064242975206611375e-01
-1.769230769230769056e+03,3.715407999999999905e-02,3.070585123966942387e-01
-1.846153846153846189e+03,3.713734999999999953e-02,3.069202479338842826e-01
-1.923076923076923094e+03,3.722807000000000199e-02,3.076699999999999990e-01
-2.000000000000000000e+03,3.737738000000000171e-02,3.089039669421487777e-01
-2.076923076923076678e+03,3.746949000000000113e-02,3.096652066115702651e-01
-2.153846153846153811e+03,3.758236999999999689e-02,3.105980991735536878e-01
-2.230769230769230944e+03,3.768563999999999942e-02,3.114515702479339065e-01
-2.307692307692307622e+03,3.778746000000000188e-02,3.122930578512396749e-01
-2.384615384615384755e+03,3.787399999999999795e-02,3.130082644628098820e-01
-2.461538461538461888e+03,3.796610999999999736e-02,3.137695041322314249e-01
-2.538461538461538112e+03,3.818101000000000134e-02,3.155455371900826589e-01
-2.615384615384615245e+03,3.819219000000000086e-02,3.156379338842975613e-01
-2.692307692307692378e+03,3.822426999999999769e-02,3.159030578512396215e-01
-2.769230769230769056e+03,3.819498999999999811e-02,3.156610743801652741e-01
-2.846153846153846189e+03,3.834285999999999944e-02,3.168831404958677989e-01
-2.923076923076922867e+03,3.837776999999999855e-02,3.171716528925619949e-01
-3.000000000000000000e+03,3.847684999999999994e-02,3.179904958677685634e-01
